"","genotype","Tmem119","Gabbr1","Gabbr2","Cd164","Clec4a3","Ecscr","Fcrls","Gpr34","Laptm4a","Laptm5","P2ry12","P2ry13","Ppib","Selenok","Selenop","Tmem14c","Trem2","Tspan3","Tspan4","Tspan7","C1qc","Tmsb4x","Rps29","Ftl1","mt_Nd2","mt_Co3"
"2217","ctr",27.2444858863346,15.3250233110632,3.40556073579183,4.54074764772244,0,2.27037382386122,0.567593455965306,3.97315419175713,6.24352801561835,20.433364414751,17.5953971349245,5.67593455965306,0,2.83796727982653,16.4602102229939,5.10834110368773,3.97315419175713,17.0278036789591,1.70278036789591,1.13518691193061,11.3518691193061,9.64908875141017,13.054649487202,6.81112147158364,3.13681658626138,15.2095691261854
"2218","ctr",43.7486204270263,13.2571577051595,16.5714471314493,8.61715250835367,1.98857365577392,4.64000519680582,7.29143673783771,3.31428942628987,8.61715250835367,55.6800623616698,27.8400311808349,6.62857885257976,0.662857885257976,3.31428942628987,22.5371680987711,3.31428942628987,5.3028630820638,16.5714471314493,0.662857885257976,0,24.5257417545451,11.2685840493855,11.9314419346436,3.31428942628987,4.45425253161998,14.5348162789942
"2219","ctr",54.0459335473186,12.8244588078383,20.1527209837459,4.58016385994225,0,6.41222940391915,19.2366882117575,5.4961966319307,13.7404915798268,54.0459335473186,42.1375075114687,13.7404915798268,2.74809831596535,2.74809831596535,32.0611470195958,4.58016385994225,12.8244588078383,19.2366882117575,1.8320655439769,0,29.3130487036304,16.4885898957921,21.0687537557344,12.8244588078383,5.81009358190799,27.5906322824605
"2220","ctr",38.818744480284,2.8129524985713,0.562590499714261,5.62590499714261,0.562590499714261,1.12518099942852,23.0662104882847,8.43885749571392,6.18849549685686,45.5698304768553,33.7554299828556,11.2518099942852,1.68777149914278,0,15.189943492285,1.68777149914278,3.93813349799982,5.62590499714261,0,0,35.4432014819984,9.00144799542817,3.37554299828556,2.25036199885704,2.87256458792102,12.4573964279329
"2221","ctr",32.3890017929234,14.8220855662531,9.88139037750206,3.84276292458413,1.09793226416689,1.64689839625034,7.68552584916825,8.78345811333516,10.9793226416689,39.5255615100082,18.1158823587537,9.88139037750206,2.19586452833379,3.84276292458413,16.4689839625034,1.64689839625034,6.03862745291791,17.5669162266703,1.09793226416689,0.548966132083448,21.9586452833379,2.74483066041724,7.13655971708482,1.09793226416689,4.25977955716001,16.6719038035667
"2222","ctr",43.4219093341145,23.4713023427645,9.38852093710583,8.2149558199676,1.17356511713823,2.34713023427645,22.2977372256263,10.562086054244,12.9092162885205,45.769039568391,39.9012139826998,18.7770418742117,0,0,15.256346522797,1.17356511713823,7.04139070282937,9.38852093710583,0,0,30.512693045594,1.17356511713823,2.34713023427645,0,3.50979293147647,14.4552357668849
"2223","ctr",119.310695425732,46.6867938622427,51.8742154024921,5.18742154024921,0,5.18742154024921,51.8742154024921,5.18742154024921,72.6239015634888,171.184910828224,57.0616369427412,20.7496861609968,0,0,57.0616369427412,5.18742154024921,25.937107701246,36.3119507817444,0,0,77.8113231037382,0,0,0,4.42575243549442,19.2758359529812
"2224","ctr",31.0945826129755,5.92277764056676,0,2.96138882028338,0,2.22104161521253,2.22104161521253,5.18243043549592,17.7683329217003,54.0453459701716,25.1718049724088,4.44208323042507,1.48069441014169,1.48069441014169,23.6911105622671,0.740347205070847,4.44208323042507,8.14381925577929,1.48069441014169,0,28.873540997763,11.1052080760627,19.9893745369128,9.624513665921,3.68922415758853,15.1568618044216
"2225","ctr",48.0979832876342,19.2391933150537,8.41714707533598,7.81592228424057,0.601224791095429,5.41102311985884,12.0244958219085,3.60734874657257,7.81592228424057,52.9077816163975,21.6440924794354,13.2269454040994,0.601224791095429,2.40489916438171,25.8526660171034,1.20244958219085,1.80367437328628,20.4416428972446,0,0.601224791095429,22.2453172705308,15.6318445684811,14.4293949862903,10.2208214486223,4.58073168335608,17.0419451690205
"2226","ctr",32.7587878724347,4.9138181808652,5.73278787767606,7.37072727129778,0,3.27587878724347,15.5604242394065,3.27587878724347,3.27587878724347,35.2156969628673,20.4742424202716,1.63793939362173,0.818969696810868,0,25.3880606011369,0,1.63793939362173,5.73278787767606,0.818969696810868,0,22.9311515107042,3.27587878724347,11.4655757553521,9.00866666491952,3.18921541392694,12.3062399594315
